Rhode Island,334.34,317.06,332.73,316.47,331.93,330.515,329.16,313.495,328.12,313.51,323.36,313.45,321.39,320.38,319.76,318.28499999999997,335.29,317.06
South Carolina,348.09,337.16,345.955,336.745,345.68,344.46500000000003,343.26,333.84,343.49,333.82,342.5,333.75,341.975,341.61,340.59,339.1,349.99,338.17
South Dakota,386.84,358.24,389.9,359.66,388.48,388.04,382.94,358.78,382.21,358.46,377.24,358.47,377.19,377.57,377.08,377.08,387.8,356.93
Tennessee,358.6,347.89,357.53499999999997,347.565,356.64,356.33000000000004,354.82,345.165,353.855,345.24,353.28,345.27,352.975,352.32,351.61,350.63,359.7,349.08
Texas,342.63,333.84,341.66,332.95,341.07,339.765,338.84,326.28,338.21,326.07,337.81,326.01,337.04999999999995,336.85,336.74,336.32500000000005,343.39,334.84
Utah,292.2,289.98,292.395,289.03,292.31,291.01,289.49,285.575,289.35,285.11,288.91,285.25,287.23,287.64,287.71,290.77,291.54,290.87
Vermont,378.89,370.66,377.32500000000005,369.19,377.03,376.65,376.52,365.56,376.94,364.83,375.57,362.21,374.82,374.25,374.09,372.55,379.88,371.53
Virginia,373.91,364.78,373.02,364.28,372.49,371.2,369.81,361.79499999999996,368.855,361.83,368.06,362.06,366.94,366.685,366.78,366.225,374.11,365.13
Washington,235.91,233.01,235.47,232.695,234.49,233.61,233.13,231.585,232.29500000000002,231.69,232.65,231.72,232.685,232.84,233.25,233.5,236.26,233.13
West Virginia,361.22,357.91,363.70000000000005,357.74,360.31,357.05,355.06,357.725,354.47,357.52,354.04,357.43,354.37,355.46,354.6,357.62,360.98,359.08
Wisconsin,358.11,350.02,357.79,348.31,356.74,355.53999999999996,354.86,345.31,354.115,345.02,353.37,345.7,352.94,352.32,352.21,351.37,357.62,350.77
Wyoming,354.03,320.39,354.03,322.28,355.18,354.72,350.72,314.89,351.25,313.72,350.99,313.72,349.69,328.54,328.51,326.51,355.9,323.53
